user_id,qsr_txn_count_30d,qsr_spend_30d,qsr_recency_days,competitor_qsr_share_90d,grocery_spend_30d,fuel_spend_30d,weekend_dining_frequency,avg_ticket_size,dining_category_entropy,merchant_novelty_rate,campaign_exposed,income_band_encoded,age_band_encoded,region_encoded,prior_offer_redemption_rate,purchase_qsr_next_30d
42,3,34.05,30,0.2176,141.29,28.92,1,16.11,1.3723,0.2812,1,2,0,1,0.3411,0
43,1,13.6,27,0.2403,155.84,90.44,0,17.06,1.1029,0.1866,0,0,2,1,0.6511,0
44,1,19.44,3,0.1594,189.14,70.15,0,8.07,1.6377,0.2323,0,2,3,0,0.1086,0
45,3,46.51,19,0.8547,58.8,82.16,1,16.3,0.8961,0.3324,0,2,3,3,0.2089,1
46,2,31.92,35,0.4787,85.66,179.86,1,18.96,1.3236,0.2231,0,3,2,2,0.1209,0
47,6,108.2,1,0.4148,102.53,27.03,3,17.94,1.0266,0.4467,0,1,1,2,0.2269,0
48,1,7.62,2,0.214,139.53,32.89,2,14.14,1.27,0.2242,0,1,2,0,0.3926,0
49,2,35.21,90,0.5726,20.74,101.22,1,11.79,1.3196,0.1207,0,0,2,3,0.1259,0
50,5,62.57,12,0.3646,359.42,53.27,2,12.75,1.7599,0.4977,1,3,0,3,0.4141,1
51,3,48.33,40,0.5433,61.37,148.79,2,14.61,0.9857,0.6024,1,0,2,1,0.5354,0
52,5,49.31,2,0.1676,199.97,16.55,1,9.8,1.2506,0.2831,0,1,2,0,0.17,0
53,2,33.52,48,0.3688,164.61,92.12,3,18.08,1.0568,0.3544,1,1,1,2,0.1125,0
54,5,58.02,5,0.2598,40.96,76.34,2,12.84,1.2219,0.5041,1,2,1,2,0.4195,1
55,2,28.83,18,0.471,43.47,198.53,3,18.29,0.8988,0.3449,0,2,3,3,0.4303,0
56,4,48.71,1,0.4366,84.96,113.86,1,11.11,1.1303,0.4614,1,2,0,1,0.1924,0
57,1,2.82,8,0.3119,59.84,179.47,0,7.75,1.0924,0.3587,1,0,1,3,0.0826,0
58,5,91.0,2,0.5658,166.47,31.21,2,19.36,1.2617,0.6951,1,2,3,2,0.5156,1
59,4,82.61,23,0.3163,250.3,61.84,0,19.5,1.233,0.3266,0,3,1,1,0.1609,0
60,2,0.63,13,0.3573,50.0,87.36,1,4.32,1.4111,0.6234,0,0,0,2,0.0985,0
61,12,222.16,4,0.3227,47.78,7.99,2,18.48,1.2648,0.2422,0,0,4,1,0.2648,1
62,3,34.02,64,0.72,106.37,73.88,0,10.73,1.3197,0.4979,0,3,2,1,0.6309,0
63,1,17.55,5,0.6271,210.32,53.22,0,11.71,1.4938,0.2059,1,1,1,1,0.1074,0
64,1,11.28,3,0.8802,104.07,75.43,0,7.49,1.8745,0.2407,1,1,0,1,0.0775,0
65,4,45.88,2,0.3567,145.59,55.72,0,9.99,1.2169,0.6225,0,1,0,2,0.15,0
66,1,9.87,4,0.5192,154.27,72.26,1,15.92,1.2827,0.5788,0,1,3,1,0.1362,0
67,5,66.02,32,0.4577,84.67,76.37,0,13.2,0.9922,0.2633,0,2,1,1,0.0876,0
68,6,82.98,4,0.2847,149.79,32.73,2,15.73,1.3479,0.2329,0,2,1,2,0.253,1
69,4,41.89,7,0.5062,79.47,81.21,0,9.98,1.4135,0.1267,1,1,4,1,0.3483,0
70,4,79.91,11,0.6006,110.65,38.43,2,18.78,1.0549,0.3087,0,1,3,0,0.3195,0
71,2,11.75,1,0.1773,165.06,35.34,0,7.91,0.7758,0.3756,0,1,3,2,0.0871,0
72,1,15.7,2,0.6052,165.4,22.06,0,16.27,1.3321,0.321,0,1,2,2,0.48,0
73,0,0.0,5,0.5567,87.27,92.17,0,14.74,1.2672,0.149,1,2,4,3,0.4126,0
74,4,66.16,20,0.7155,92.97,31.5,3,16.84,1.1065,0.4342,0,2,1,2,0.3537,0
75,2,41.82,7,0.1201,136.34,204.62,0,21.01,1.1681,0.3158,0,3,0,2,0.2797,0
76,7,114.87,7,0.4188,325.19,138.56,1,16.29,1.6874,0.5545,0,0,0,1,0.0892,0
77,3,40.21,3,0.3906,15.49,123.86,1,14.26,1.3871,0.3347,0,0,0,0,0.1507,1
78,2,26.56,3,0.5569,187.91,136.02,1,15.14,1.2235,0.2233,0,2,3,2,0.1035,0
79,3,45.04,17,0.473,127.3,52.37,0,12.17,1.4818,0.2715,0,2,2,1,0.166,0
80,6,88.46,0,0.5912,88.69,35.39,2,15.61,1.0688,0.2506,0,0,0,1,0.2901,0
81,2,28.79,36,0.2659,92.03,115.22,0,12.46,1.0937,0.5684,0,3,0,1,0.1687,0
82,2,23.12,0,0.4039,203.71,31.67,1,15.44,1.656,0.3011,0,2,3,0,0.5257,0
83,4,58.14,13,0.6737,212.74,59.62,0,15.41,1.0925,0.7296,0,1,1,1,0.2944,0
84,4,90.35,17,0.4374,152.86,73.91,5,18.36,1.3462,0.2406,0,2,3,0,0.2818,0
85,3,58.97,6,0.1608,96.05,133.72,0,17.79,1.5852,0.5976,0,2,4,2,0.4309,0
86,2,43.82,12,0.6424,107.21,55.8,0,17.4,1.4075,0.3827,0,1,3,2,0.1398,0
87,3,31.29,3,0.4773,82.46,87.32,4,11.72,1.3647,0.1297,0,1,1,2,0.2533,0
88,2,37.13,11,0.2168,77.92,76.71,2,17.24,1.3583,0.7157,0,1,2,2,0.4651,0
89,4,56.8,3,0.1774,123.41,119.83,2,13.73,1.5384,0.1763,0,1,2,2,0.1122,0
90,8,129.68,11,0.2714,97.5,24.79,0,14.52,1.0298,0.4978,1,2,3,3,0.2532,1
91,10,204.13,1,0.1204,164.96,5.35,2,20.61,1.2639,0.1365,1,1,1,0,0.2977,1
92,4,46.23,2,0.1453,103.82,33.4,0,13.51,1.1644,0.367,0,0,3,3,0.1622,0
93,7,182.51,9,0.3037,65.27,81.05,1,25.31,0.8779,0.4094,1,2,2,1,0.3497,1
94,4,56.36,39,0.7609,110.15,97.19,0,14.42,1.6642,0.405,0,0,2,2,0.0705,0
95,3,50.6,1,0.6531,91.66,209.68,0,13.74,1.1858,0.3687,1,2,1,0,0.4137,0
96,1,5.02,22,0.1558,130.67,62.82,1,9.64,1.1532,0.4797,1,2,0,0,0.115,0
97,8,188.0,4,0.4429,120.58,141.55,0,22.09,1.7634,0.2735,0,2,3,3,0.2854,0
98,3,19.49,24,0.0873,60.58,14.63,0,7.53,1.4912,0.2838,0,1,0,0,0.3427,0
99,3,42.56,4,0.6119,55.09,121.86,3,15.39,1.2594,0.6838,1,0,1,1,0.4951,0
100,1,21.8,7,0.6836,84.41,131.67,2,19.01,1.533,0.2076,1,2,2,0,0.2937,1
101,2,17.36,9,0.7061,88.76,74.09,0,11.27,1.1438,0.1403,1,0,1,0,0.4252,0
102,5,47.33,1,0.5667,310.35,48.53,0,10.42,0.9737,0.4356,1,2,3,3,0.0584,0
103,3,59.06,1,0.522,76.53,36.91,1,18.43,0.9399,0.2934,1,0,1,2,0.4306,1
104,0,0.0,11,0.6851,61.26,90.02,0,11.98,2.0111,0.6899,1,2,2,2,0.3732,0
105,2,19.81,5,0.6691,211.74,206.36,0,10.4,1.3937,0.5789,0,0,0,1,0.0325,0
106,3,26.92,20,0.6186,150.53,78.88,0,9.2,2.1205,0.3035,0,0,2,0,0.3874,0
107,2,13.72,18,0.2636,32.33,40.33,2,7.48,1.6863,0.1254,1,1,2,2,0.2616,0
108,2,21.86,5,0.5027,148.69,81.02,0,10.62,1.8178,0.7257,1,2,3,1,0.1969,0
109,4,61.02,9,0.3776,150.77,25.98,2,15.8,1.0898,0.5492,0,1,1,1,0.235,0
110,2,22.29,10,0.3393,136.98,17.19,0,13.33,1.0917,0.3404,1,1,1,1,0.2331,0
111,4,50.34,0,0.4119,73.82,76.66,3,13.94,1.6665,0.1105,1,2,1,0,0.4286,0
112,2,47.63,13,0.3767,135.62,88.78,2,13.68,0.6625,0.3064,0,1,0,3,0.071,0
113,3,56.76,3,0.8573,155.57,30.37,0,17.21,1.2414,0.1258,1,2,1,2,0.2784,0
114,4,64.47,6,0.5825,183.64,10.5,1,16.28,1.4669,0.6854,1,1,4,0,0.301,1
115,4,72.08,0,0.2776,124.38,86.93,3,17.88,1.3116,0.1796,1,0,1,1,0.7716,0
116,7,87.56,4,0.2343,99.06,133.19,1,13.25,1.1368,0.187,0,0,1,2,0.1161,1
117,2,31.96,10,0.5755,146.53,25.92,2,16.71,1.5327,0.6157,0,3,4,1,0.4236,0
118,1,11.11,3,0.2947,88.48,101.12,0,11.61,1.3309,0.3982,0,0,3,3,0.5219,0
119,4,87.86,3,0.2343,84.9,74.78,0,19.59,1.3536,0.1328,1,0,1,2,0.4384,1
120,0,0.78,72,0.3637,79.6,5.16,0,10.73,0.7933,0.2072,0,0,3,0,0.2364,0
121,4,82.54,20,0.6331,16.92,70.22,1,19.05,1.4749,0.2106,0,2,2,2,0.4979,0
122,1,9.71,1,0.3117,62.23,42.62,0,15.16,1.3096,0.1645,0,1,3,2,0.4447,0
123,3,55.26,6,0.2057,59.58,62.05,1,17.14,1.0889,0.2659,0,2,0,1,0.2256,0
124,3,27.85,27,0.6962,191.31,34.3,2,10.86,1.6565,0.1565,0,1,2,3,0.5897,0
125,3,53.63,6,0.3832,401.67,155.56,1,16.21,1.6419,0.6189,1,2,3,0,0.1861,0
126,3,56.6,4,0.6629,97.97,83.6,2,19.79,1.5058,0.3811,0,3,4,1,0.2105,0
127,0,4.85,50,0.8117,97.42,134.37,1,15.17,1.0339,0.4315,0,1,2,3,0.2324,0
128,3,32.92,18,0.7813,167.75,99.11,0,12.7,1.5391,0.3941,0,3,0,1,0.0805,0
129,4,79.74,5,0.2726,155.55,50.36,1,21.51,1.2505,0.3015,0,3,4,0,0.4552,1
130,5,44.86,5,0.6456,93.93,42.98,2,8.89,1.3936,0.174,1,0,2,0,0.3451,0
131,3,45.85,35,0.4319,91.9,33.42,0,16.05,1.1245,0.6964,1,2,2,2,0.3986,0
132,5,83.92,0,0.7598,148.41,163.62,0,17.24,1.1879,0.8698,0,2,1,1,0.2734,0
133,5,75.08,15,0.2649,142.39,79.96,0,15.41,0.8023,0.313,0,2,3,2,0.4897,0
134,4,52.96,1,0.9562,155.43,26.19,3,14.16,1.4123,0.5393,0,2,2,2,0.0885,0
135,5,79.67,12,0.142,171.38,59.36,0,15.47,1.1985,0.4059,0,2,4,2,0.4722,0
136,4,71.55,5,0.1355,75.2,140.14,1,18.6,1.1994,0.5232,0,1,2,3,0.3167,0
137,1,18.15,37,0.7616,74.31,45.62,1,8.02,1.6065,0.3644,0,2,1,3,0.0906,0
138,3,18.61,18,0.3236,201.37,21.61,0,6.98,1.372,0.2907,0,0,3,0,0.3481,0
139,6,105.47,4,0.2878,115.66,39.3,0,18.13,0.7803,0.2787,0,2,0,3,0.3301,0
140,1,11.17,11,0.5055,48.82,43.26,1,12.75,1.3496,0.4275,0,0,1,1,0.6565,0
141,4,62.08,3,0.5312,144.98,38.45,2,16.03,1.8381,0.3058,0,2,4,3,0.2367,0
142,1,16.54,9,0.1408,131.03,120.15,1,16.14,1.7041,0.1549,0,2,4,2,0.5996,0
143,2,29.41,11,0.22,115.79,78.16,2,12.38,1.3831,0.1354,0,0,3,0,0.5874,0
144,5,94.46,9,0.6942,58.51,13.54,1,18.09,0.885,0.6036,0,2,1,2,0.1977,0
145,1,2.99,22,0.4166,109.57,113.73,1,7.51,1.5346,0.2782,0,2,3,2,0.2847,0
146,3,27.47,1,0.5569,25.35,201.61,2,10.09,1.253,0.7581,0,0,2,3,0.0706,0
147,3,50.61,16,0.1522,252.61,113.36,0,17.39,1.3573,0.4815,0,1,2,1,0.4413,0
148,4,84.97,2,0.2806,114.45,50.4,3,20.54,1.1259,0.6357,1,0,2,2,0.4576,0
149,7,126.82,3,0.1559,80.11,81.58,0,18.78,0.6786,0.5059,1,0,2,2,0.498,1
150,4,85.76,1,0.7014,97.08,101.43,4,23.36,1.3138,0.704,0,2,1,2,0.3167,0
151,0,0.0,23,0.4725,143.05,105.25,0,10.46,1.2699,0.3007,0,1,2,1,0.1945,0
152,3,42.23,18,0.2444,151.29,61.61,0,15.9,0.6571,0.5866,0,2,0,1,0.2494,0
153,5,92.66,5,0.572,66.3,59.15,1,18.85,1.3787,0.2547,0,0,3,3,0.3391,0
154,7,92.91,11,0.1309,164.87,57.35,1,12.79,0.8543,0.375,1,0,4,2,0.482,1
155,3,54.93,3,0.2439,81.44,76.32,7,18.33,1.5545,0.4356,0,2,1,2,0.4224,0
156,2,25.56,9,0.3099,111.71,90.91,0,14.34,0.8963,0.3025,1,1,4,3,0.2504,0
157,6,102.52,4,0.5613,181.58,25.88,1,17.05,1.8265,0.2557,0,3,3,2,0.253,0
158,2,32.62,8,0.1735,95.91,135.66,3,12.24,1.1721,0.4101,0,0,3,2,0.1162,0
159,7,107.15,6,0.1722,236.39,65.06,3,13.73,0.8407,0.525,0,2,4,2,0.1584,0
160,8,152.8,1,0.1782,217.0,62.22,0,19.9,1.1906,0.1159,1,2,1,1,0.4977,0
161,3,40.39,13,0.2915,113.7,149.99,1,16.43,1.2256,0.571,0,2,3,1,0.2254,0
162,7,121.7,1,0.1176,129.58,139.04,1,17.78,1.3031,0.2355,1,2,0,3,0.6954,1
163,2,39.79,24,0.1916,392.2,43.83,0,17.65,1.4438,0.3435,0,1,4,2,0.3312,0
164,3,60.58,4,0.2902,86.03,56.19,2,19.04,1.4602,0.3347,0,2,2,1,0.47,0
165,2,26.3,9,0.4916,182.73,93.66,0,13.49,1.7213,0.2231,1,1,3,0,0.1826,0
166,2,41.18,24,0.5803,21.77,43.0,3,20.07,1.1371,0.4106,1,2,1,0,0.1584,0
167,3,22.51,11,0.7414,81.64,162.79,0,6.5,0.9897,0.2037,0,0,0,2,0.5406,0
168,4,30.55,1,0.434,173.98,38.8,2,7.71,1.3306,0.4597,1,0,1,3,0.4519,0
169,4,69.09,15,0.425,95.84,160.67,0,17.19,1.2185,0.1468,0,1,0,2,0.1149,0
170,3,23.88,7,0.5629,181.52,91.19,1,8.25,1.5519,0.3625,0,1,2,2,0.228,0
171,4,51.44,17,0.579,45.91,85.67,0,11.41,1.1017,0.2688,0,0,1,3,0.434,0
172,5,83.49,15,0.0964,146.69,22.03,0,16.32,1.5492,0.4769,1,0,4,1,0.2681,0
173,0,0.0,16,0.6196,73.18,33.21,2,8.84,1.2669,0.1029,1,0,3,0,0.2946,0
174,3,23.15,5,0.7967,128.59,126.21,0,7.22,1.5401,0.4,0,0,2,2,0.2641,0
175,1,22.92,26,0.7655,85.69,130.25,0,15.58,1.4652,0.1166,0,0,3,3,0.0744,0
176,2,32.04,5,0.1444,151.33,50.69,3,16.7,1.6194,0.2403,1,2,2,1,0.502,0
177,3,18.89,4,0.6861,77.57,146.64,0,7.63,1.5421,0.1832,1,3,4,3,0.3505,0
178,10,173.95,14,0.4063,125.99,81.76,1,18.61,2.2622,0.4563,0,1,3,3,0.4964,0
179,5,81.89,3,0.4743,85.41,105.42,1,15.47,1.5525,0.3025,1,0,3,0,0.6472,0
180,2,27.97,26,0.465,79.33,94.07,1,15.56,1.5179,0.1857,0,1,1,1,0.2657,0
181,2,38.82,11,0.1374,183.74,72.55,1,15.03,1.3731,0.1473,1,2,3,1,0.647,0
182,2,21.22,42,0.4581,232.61,35.86,1,9.86,1.1329,0.2879,0,3,3,1,0.2813,0
183,4,66.28,2,0.5232,236.73,75.37,4,16.7,1.264,0.5022,0,1,0,1,0.2749,1
184,3,14.39,2,0.7019,227.16,37.45,0,4.36,0.5822,0.2238,1,0,0,1,0.155,0
185,2,19.86,40,0.6742,84.3,31.99,0,11.64,1.2288,0.2421,0,1,4,2,0.1725,0
186,1,16.64,4,0.1735,99.88,75.43,1,12.26,1.2698,0.3475,0,1,4,2,0.1037,0
187,4,72.5,3,0.602,79.94,126.31,3,18.91,1.3524,0.172,0,0,2,3,0.449,0
188,7,125.22,7,0.4977,107.77,160.97,3,17.61,1.5774,0.2745,0,2,1,2,0.2417,0
189,1,16.98,15,0.2913,179.28,31.17,0,9.99,1.1552,0.7194,1,0,2,2,0.5212,0
190,2,29.92,46,0.1754,147.44,22.23,2,14.67,1.2745,0.5193,0,0,0,1,0.0895,0
191,5,43.32,1,0.4778,141.38,61.63,0,7.3,1.2267,0.2498,0,2,3,0,0.1051,0
192,3,28.18,4,0.696,113.63,149.91,0,10.82,1.4973,0.6177,0,2,0,2,0.4266,0
193,7,99.89,0,0.1971,168.03,82.31,0,12.94,1.0893,0.4698,0,0,1,2,0.4927,0
194,6,85.18,5,0.49,95.18,67.97,4,13.6,1.3652,0.5832,0,2,2,1,0.2554,0
195,0,0.0,20,0.7568,76.54,90.52,0,5.88,1.2944,0.5721,0,1,3,3,0.0052,0
196,5,66.41,2,0.2922,103.37,65.31,2,13.78,1.6779,0.1176,0,1,4,2,0.2397,0
197,2,24.31,49,0.1824,14.33,82.9,1,10.84,1.6263,0.2568,1,0,2,1,0.4422,0
198,3,34.55,1,0.3063,125.89,50.67,3,9.27,1.7215,0.2602,0,1,1,1,0.3754,0
199,5,69.25,7,0.4682,44.44,103.34,0,12.51,1.5999,0.47,0,0,0,2,0.5838,1
200,3,51.57,8,0.686,100.68,52.66,1,18.46,0.9865,0.1963,1,2,2,2,0.3195,0
201,9,191.19,2,0.2508,137.15,168.37,0,21.82,1.039,0.3345,0,3,0,0,0.466,1
202,4,36.84,7,0.3271,90.45,108.82,0,10.23,1.7814,0.6612,0,0,2,2,0.2956,0
203,3,39.62,35,0.5615,142.96,69.01,2,13.73,1.4662,0.1616,1,1,2,0,0.4013,0
204,6,86.3,14,0.0611,70.15,170.58,3,13.81,1.2498,0.2197,0,1,2,2,0.2889,1
205,3,41.5,66,0.4719,46.61,67.54,1,10.79,1.2308,0.3779,0,1,1,3,0.3514,1
206,6,61.24,7,0.7386,119.41,68.25,2,9.88,1.4417,0.1228,1,2,4,0,0.5554,0
207,6,66.91,4,0.4754,76.11,60.05,2,10.7,1.3378,0.1809,0,0,3,1,0.4249,1
208,2,42.56,1,0.6594,57.37,119.46,1,19.01,1.6152,0.2357,0,2,2,2,0.2109,0
209,2,14.27,65,0.691,121.2,15.96,0,6.4,1.3879,0.1533,0,1,2,1,0.0119,0
210,4,50.58,5,0.5662,66.84,74.93,0,13.89,2.0197,0.4825,1,2,1,1,0.5519,0
211,4,54.01,17,0.5957,124.48,52.79,2,13.74,1.1321,0.1182,1,1,1,2,0.1395,0
212,3,31.33,8,0.9103,128.3,39.87,1,10.92,1.4793,0.1635,1,0,3,3,0.4303,0
213,2,33.96,18,0.4164,109.1,33.73,0,11.74,1.005,0.4032,0,0,2,3,0.221,0
214,0,0.0,1,0.5511,174.73,80.86,0,11.73,1.2439,0.3867,0,2,0,1,0.266,0
215,2,33.97,3,0.3256,153.92,60.93,0,14.99,1.1875,0.4254,1,1,4,3,0.73,0
216,6,77.52,16,0.5035,108.57,54.58,2,14.17,1.2122,0.2894,1,2,2,0,0.4362,0
217,9,91.74,0,0.8391,98.62,53.45,0,11.09,1.0201,0.2057,0,0,1,0,0.2756,0
218,3,48.44,24,0.5913,138.21,85.92,1,15.72,0.7826,0.3963,0,0,0,2,0.7772,0
219,5,63.83,1,0.5653,112.83,146.24,5,13.23,0.786,0.1784,1,2,1,3,0.4828,1
220,4,34.64,10,0.5176,45.67,131.63,0,9.81,1.1659,0.3835,0,0,2,0,0.4822,0
221,2,34.55,25,0.6417,102.21,47.64,0,14.19,1.4276,0.2017,0,3,4,1,0.5094,0
222,4,57.07,7,0.4402,136.27,15.07,1,14.16,1.8038,0.1309,1,2,0,0,0.4395,1
223,1,6.26,44,0.207,105.45,143.14,0,12.34,1.3479,0.8199,1,0,1,1,0.5482,0
224,4,85.26,4,0.2646,87.94,41.85,2,21.39,0.9827,0.2536,0,2,1,2,0.6576,0
225,5,103.02,5,0.4475,55.44,17.49,2,20.61,1.1058,0.4871,0,0,2,2,0.2343,0
226,2,33.29,1,0.4615,240.54,22.24,0,16.49,1.8074,0.2277,0,3,3,0,0.1835,0
227,7,86.33,7,0.7361,146.51,165.52,1,12.19,1.5208,0.6203,0,2,0,1,0.5328,0
228,2,24.01,2,0.469,89.23,53.37,0,8.2,0.8978,0.623,0,1,4,2,0.0912,0
229,8,165.13,1,0.3994,107.52,22.24,1,19.82,1.254,0.7155,1,2,1,0,0.3625,0
230,5,87.76,5,0.2948,81.06,86.01,2,17.66,1.2947,0.3267,1,0,3,0,0.4587,0
231,6,84.38,7,0.485,78.19,31.18,0,14.67,1.4351,0.2669,0,1,2,1,0.1492,0
232,1,18.03,29,0.3943,172.03,130.79,0,13.22,1.2592,0.531,1,1,2,2,0.352,0
233,8,108.96,2,0.1959,95.36,20.77,4,14.08,0.9504,0.6777,0,1,3,3,0.2446,1
234,6,90.08,7,0.552,105.26,5.95,3,13.69,1.7448,0.3849,0,0,2,0,0.0853,1
235,11,169.77,7,0.3562,105.0,52.61,1,15.43,0.54,0.3473,0,3,3,1,0.1561,0
236,0,1.01,43,0.471,90.72,63.1,0,9.63,1.3895,0.3776,0,1,2,3,0.1155,0
237,5,59.52,2,0.2265,89.68,155.09,0,11.46,1.3361,0.1859,1,3,3,2,0.4328,1
238,2,17.42,3,0.168,197.3,95.67,1,10.93,1.2536,0.6395,0,0,0,2,0.1699,0
239,9,165.63,0,0.3535,165.07,51.19,2,18.37,1.6212,0.2141,0,2,2,0,0.3641,1
240,7,119.61,0,0.3508,44.77,80.73,5,16.84,1.269,0.6197,1,2,4,1,0.1778,0
241,2,29.97,3,0.6409,249.09,102.74,3,13.8,1.1693,0.3611,1,2,2,3,0.5682,1
242,11,223.64,2,0.167,45.99,79.31,3,20.05,1.4296,0.3761,0,2,3,2,0.3397,1
243,6,110.8,18,0.2187,88.23,19.24,1,18.78,1.1998,0.5271,0,1,4,3,0.1047,0
244,5,106.3,27,0.5436,122.33,154.14,1,20.75,1.0592,0.5822,0,2,0,2,0.676,0
245,8,110.49,5,0.7099,116.89,45.26,0,13.29,1.4264,0.6733,0,3,3,1,0.4476,0
246,3,68.02,11,0.2322,149.12,39.09,1,20.81,1.6822,0.7668,0,0,4,1,0.5168,0
247,8,113.24,3,0.273,197.82,68.66,1,15.26,1.2406,0.7628,0,0,0,2,0.6075,0
248,3,45.62,33,0.601,102.9,99.44,2,14.65,1.3215,0.6175,0,3,1,1,0.1805,0
249,1,18.39,18,0.5599,122.79,21.92,0,13.39,0.8611,0.5317,0,3,1,1,0.0836,0
250,5,79.17,7,0.122,130.4,92.3,0,15.74,1.5031,0.4928,1,1,4,2,0.3119,0
251,1,17.78,15,0.5434,203.84,25.67,0,15.05,1.3223,0.6373,0,2,4,3,0.581,0
252,5,84.86,7,0.5229,117.81,202.11,1,17.15,1.6205,0.1857,1,3,4,1,0.2249,0
253,3,48.15,26,0.4235,149.8,119.45,0,18.37,1.4771,0.2524,0,1,2,0,0.0798,0
254,5,95.94,16,0.1616,184.6,90.1,3,21.66,1.2383,0.7573,0,0,3,2,0.3589,1
255,5,105.52,5,0.3353,52.05,83.46,4,20.99,1.2011,0.2795,0,1,0,1,0.4342,1
