consumer_token,qsr_txn_count_30d,qsr_spend_30d,qsr_recency_days,competitor_qsr_share_90d,grocery_spend_30d,fuel_spend_30d,weekend_dining_frequency,merchant_novelty_rate,campaign_exposed,purchase_qsr_next_30d
consumer_0045,2,23.75,4,0.1582,212.63,4.04,1,0.209,0,1
consumer_0046,2,47.65,43,0.559,23.54,103.57,2,0.6925,0,0
consumer_0047,6,72.83,42,0.1351,112.35,23.68,0,0.2514,0,0
consumer_0048,2,44.38,18,0.277,148.94,7.32,5,0.4217,0,0
consumer_0049,2,33.42,9,0.123,108.61,147.88,1,0.4998,0,0
consumer_0050,6,47.65,45,0.1474,103.16,30.5,0,0.349,0,0
consumer_0051,0,0.12,18,0.2617,21.88,23.71,0,0.1139,1,0
consumer_0052,3,42.15,19,0.4812,111.38,77.88,0,0.48,1,0
consumer_0053,3,34.79,34,0.3807,94.14,77.23,1,0.2689,1,0
consumer_0054,4,38.71,11,0.4836,25.6,22.78,2,0.1749,0,0
consumer_0055,2,55.28,2,0.5382,37.85,17.54,2,0.3772,1,0
consumer_0056,2,6.63,1,0.3948,74.3,46.09,0,0.363,0,0
consumer_0057,3,56.25,34,0.5047,144.92,120.29,2,0.0494,1,0
consumer_0058,1,19.89,45,0.2551,157.51,60.89,0,0.1379,0,0
consumer_0059,1,22.89,31,0.2336,252.7,75.5,2,0.2906,1,0
consumer_0060,6,41.15,14,0.7039,146.3,33.12,0,0.463,0,1
consumer_0061,0,19.76,31,0.6421,34.1,105.04,1,0.3241,0,1
consumer_0062,1,18.71,45,0.3012,67.05,17.01,0,0.1348,0,0
consumer_0063,3,69.73,8,0.3826,189.24,95.6,2,0.4738,0,1
consumer_0064,4,78.66,2,0.6618,164.26,56.98,1,0.4076,0,0
consumer_0065,5,93.99,16,0.3797,61.52,92.17,1,0.6125,0,1
consumer_0066,3,39.48,15,0.3751,168.67,176.87,1,0.1979,0,0
consumer_0067,5,61.19,5,0.4954,56.57,28.67,0,0.3656,1,1
consumer_0068,3,44.44,31,0.3504,97.19,36.25,2,0.5906,0,0
consumer_0069,2,51.75,45,0.3951,47.77,81.2,1,0.4287,0,1
consumer_0070,5,93.36,25,0.8542,59.01,12.61,3,0.7172,0,1
consumer_0071,3,43.15,17,0.1473,194.94,104.63,2,0.4885,0,0
consumer_0072,0,18.71,7,0.1358,50.4,53.41,1,0.2782,0,0
consumer_0073,1,23.97,40,0.3838,126.86,28.56,1,0.1144,1,0
consumer_0074,6,64.07,20,0.1304,36.17,66.25,0,0.4297,0,0
consumer_0075,6,95.43,7,0.3259,85.47,92.04,2,0.2284,0,1
consumer_0076,3,67.23,18,0.5255,37.26,131.15,1,0.6075,1,1
consumer_0077,2,16.34,28,0.1252,156.38,32.53,1,0.4854,0,0
consumer_0078,4,41.22,2,0.1206,100.57,30.94,1,0.2582,0,1
consumer_0079,5,71.69,33,0.702,116.81,34.29,2,0.6753,0,1
consumer_0080,6,116.12,24,0.4792,125.04,44.16,1,0.747,0,1
consumer_0081,2,45.7,10,0.3199,90.41,29.93,3,0.2617,0,1
consumer_0082,1,29.27,2,0.652,204.52,26.08,0,0.5263,0,0
consumer_0083,5,121.11,39,0.308,137.66,77.33,1,0.388,1,0
consumer_0084,1,28.79,6,0.2064,69.76,58.55,1,0.3489,0,0
consumer_0085,3,44.58,17,0.5251,105.7,43.85,1,0.4685,0,0
consumer_0086,6,147.48,17,0.3059,72.24,24.38,1,0.4588,0,1
consumer_0087,3,45.1,21,0.1792,156.64,119.44,2,0.3436,0,0
consumer_0088,2,22.62,11,0.2781,132.04,67.04,1,0.7869,0,1
consumer_0089,8,97.64,33,0.5288,116.06,23.53,1,0.5756,1,1
consumer_0090,2,48.21,38,0.4889,58.27,36.15,0,0.1978,1,0
consumer_0091,3,27.55,43,0.8076,71.94,15.76,1,0.3111,0,0
consumer_0092,1,24.21,12,0.4121,117.55,107.1,1,0.0786,1,0
consumer_0093,5,114.27,9,0.5552,66.94,18.95,0,0.4948,0,1
consumer_0094,3,47.77,45,0.3787,210.78,33.9,1,0.3778,0,0
consumer_0095,4,53.45,21,0.4615,53.55,78.15,1,0.3156,0,0
consumer_0096,1,43.95,40,0.6696,157.46,152.24,1,0.1086,0,0
consumer_0097,7,92.59,35,0.177,202.87,113.83,3,0.1278,1,1
consumer_0098,4,62.88,17,0.8165,26.24,68.47,2,0.3113,0,0
consumer_0099,3,47.75,44,0.4934,94.63,67.19,1,0.8402,0,1
consumer_0100,1,32.34,45,0.4967,87.79,112.75,0,0.4396,0,0
consumer_0101,2,47.36,27,0.3394,32.71,32.54,0,0.2492,0,0
consumer_0102,3,52.16,32,0.0419,51.54,45.04,1,0.3947,1,1
consumer_0103,2,21.03,3,0.5809,34.33,49.95,1,0.4288,0,0
consumer_0104,2,33.7,1,0.6744,145.47,30.65,2,0.1784,0,0
consumer_0105,5,85.36,8,0.4735,91.73,38.54,1,0.2168,0,0
consumer_0106,4,85.38,38,0.1731,10.9,13.56,2,0.3175,1,0
consumer_0107,5,89.89,35,0.4548,146.61,13.33,0,0.2016,1,0
consumer_0108,2,30.71,38,0.8646,17.66,57.78,3,0.5378,0,0
consumer_0109,4,60.38,17,0.4254,96.76,5.93,1,0.7797,0,1
consumer_0110,1,26.0,40,0.4385,116.63,102.73,1,0.2443,0,0
consumer_0111,6,65.6,15,0.4903,41.99,23.26,1,0.3437,0,1
consumer_0112,2,37.76,43,0.2862,37.26,44.52,1,0.2377,0,0
consumer_0113,3,43.93,37,0.3286,134.64,14.4,0,0.3738,1,0
consumer_0114,2,39.73,12,0.2106,111.75,62.65,1,0.6501,1,0
consumer_0115,3,41.69,1,0.4636,92.47,88.49,0,0.5182,1,0
consumer_0116,1,22.19,8,0.2531,24.92,72.07,1,0.1349,0,0
consumer_0117,1,20.83,40,0.575,181.99,35.45,2,0.3174,0,0
consumer_0118,3,53.84,15,0.1113,57.38,8.13,1,0.4963,0,0
consumer_0119,3,74.27,16,0.3742,31.46,27.31,1,0.1377,1,0
consumer_0120,1,20.09,24,0.1555,63.5,71.08,2,0.2362,0,0
consumer_0121,2,42.83,38,0.5401,48.27,54.54,0,0.2794,0,0
consumer_0122,4,69.72,39,0.3286,75.17,104.93,1,0.6525,0,0
consumer_0123,2,33.87,26,0.1393,77.49,34.04,1,0.3362,1,0
consumer_0124,6,76.76,5,0.373,135.55,103.67,1,0.2541,0,1
consumer_0125,1,19.5,12,0.4835,109.48,39.74,0,0.2486,1,1
consumer_0126,7,118.62,43,0.5755,28.49,131.76,0,0.3307,1,0
consumer_0127,3,42.29,37,0.3169,84.51,12.91,1,0.2409,1,0
consumer_0128,4,83.35,9,0.5429,83.91,79.92,1,0.2379,1,1
consumer_0129,1,19.53,44,0.186,124.02,21.33,1,0.2269,1,0
consumer_0130,2,29.92,34,0.263,53.42,24.63,1,0.3182,1,0
consumer_0131,2,13.75,32,0.6943,97.32,53.59,2,0.4077,0,0
consumer_0132,5,104.92,45,0.271,47.48,40.21,1,0.1392,0,0
consumer_0133,4,67.13,9,0.3089,54.82,94.74,1,0.2452,0,0
consumer_0134,2,41.39,41,0.229,97.16,102.07,1,0.4185,0,1
consumer_0135,5,68.86,23,0.1869,101.07,101.27,0,0.4818,0,0
consumer_0136,5,67.94,45,0.2758,56.16,48.75,1,0.415,0,0
consumer_0137,3,52.36,19,0.6357,64.81,15.28,1,0.5646,0,1
consumer_0138,3,50.46,25,0.1905,108.03,44.66,0,0.605,1,0
consumer_0139,5,75.54,1,0.4839,202.08,111.12,5,0.2706,0,1
consumer_0140,4,90.94,22,0.3678,81.44,28.04,1,0.2655,0,1
consumer_0141,4,60.81,43,0.4848,163.23,41.51,0,0.1392,1,1
consumer_0142,4,52.85,43,0.2818,90.98,42.08,2,0.5612,0,1
consumer_0143,2,49.17,20,0.7187,71.11,42.08,1,0.3416,1,0
consumer_0144,4,69.56,36,0.7003,75.68,35.52,6,0.167,0,1
consumer_0145,3,49.69,11,0.1805,129.95,24.79,1,0.3708,0,0
consumer_0146,4,78.83,14,0.2744,40.67,66.17,1,0.4459,0,1
consumer_0147,3,50.32,22,0.537,104.94,35.05,1,0.5764,1,1
consumer_0148,4,71.99,16,0.3876,27.22,53.78,0,0.3883,0,1
consumer_0149,9,143.15,15,0.4167,107.19,117.45,1,0.2035,0,0
consumer_0150,3,60.64,37,0.1851,158.8,80.47,2,0.7366,0,0
consumer_0151,2,37.46,37,0.2543,28.65,46.21,1,0.1924,0,0
consumer_0152,5,71.68,33,0.6582,57.37,41.21,1,0.5418,0,1
consumer_0153,3,59.07,18,0.5659,200.56,82.35,1,0.9078,0,0
consumer_0154,4,79.41,2,0.2768,176.07,21.27,0,0.3182,0,1
consumer_0155,2,40.29,26,0.4583,97.23,47.32,2,0.1137,0,0
consumer_0156,4,68.53,38,0.3727,63.52,93.51,1,0.5009,0,0
consumer_0157,3,70.81,20,0.6379,70.13,111.08,1,0.1504,1,0
consumer_0158,3,41.44,24,0.2932,130.22,28.27,1,0.3326,1,0
consumer_0159,4,63.34,25,0.5446,203.62,72.28,0,0.2638,0,0
consumer_0160,1,22.98,6,0.3892,222.78,41.89,1,0.1536,0,0
consumer_0161,5,99.65,27,0.3814,122.95,13.92,2,0.6074,1,1
consumer_0162,7,99.93,12,0.4421,34.94,45.7,1,0.4041,0,1
consumer_0163,2,43.2,3,0.4322,87.71,44.21,0,0.2668,0,0
consumer_0164,1,10.69,13,0.2445,39.67,62.4,0,0.3107,0,1
consumer_0165,4,58.69,41,0.285,105.04,23.66,1,0.2605,0,0
consumer_0166,2,49.97,30,0.4865,15.46,38.75,1,0.3838,1,1
consumer_0167,4,59.4,4,0.4217,123.39,26.79,1,0.1334,1,1
consumer_0168,1,15.58,43,0.5635,61.55,69.19,2,0.4082,1,0
consumer_0169,4,83.39,42,0.4407,164.09,41.18,1,0.2851,0,0
consumer_0170,7,97.78,17,0.2421,69.26,37.93,4,0.4635,0,1
consumer_0171,2,51.48,13,0.3783,236.4,43.64,0,0.4545,0,1
consumer_0172,1,15.82,14,0.221,146.89,15.15,2,0.2146,1,0
consumer_0173,8,138.47,42,0.3583,73.9,51.0,0,0.2324,1,1
consumer_0174,5,72.27,5,0.6052,88.34,111.47,0,0.1569,1,1
consumer_0175,4,80.51,26,0.3711,53.02,46.6,1,0.2164,1,1
consumer_0176,3,52.46,31,0.321,175.69,53.7,2,0.2219,1,1
consumer_0177,3,48.97,28,0.334,97.29,73.61,0,0.1448,0,0
consumer_0178,5,79.33,25,0.5231,164.41,100.21,1,0.3037,0,0
consumer_0179,5,50.29,5,0.834,74.48,33.7,1,0.4007,0,1
consumer_0180,2,26.06,8,0.1854,189.49,37.75,0,0.5371,0,0
consumer_0181,6,97.61,45,0.2009,77.62,69.87,2,0.1462,0,0
consumer_0182,5,76.21,3,0.1827,33.27,39.83,3,0.2159,1,0
consumer_0183,3,57.67,32,0.5479,79.33,44.53,1,0.1883,0,0
consumer_0184,3,43.07,10,0.1216,86.16,60.33,1,0.5674,1,0
consumer_0185,2,47.87,16,0.4475,73.08,31.12,1,0.4534,0,0
consumer_0186,0,0.28,35,0.0319,40.69,35.73,0,0.1652,0,0
consumer_0187,5,91.81,6,0.264,2.52,85.28,1,0.3691,1,1
consumer_0188,1,17.05,33,0.6149,90.32,87.4,2,0.2969,1,1
consumer_0189,10,151.4,24,0.084,129.15,33.96,1,0.1222,0,1
consumer_0190,2,46.32,29,0.1259,78.18,36.52,1,0.3191,0,0
consumer_0191,2,32.83,29,0.199,127.89,43.29,1,0.3841,1,1
consumer_0192,3,30.06,14,0.4379,136.96,88.19,1,0.4106,1,1
consumer_0193,2,37.96,5,0.6275,126.78,51.95,2,0.159,0,1
consumer_0194,5,99.64,23,0.2056,40.91,96.82,1,0.6592,0,0
consumer_0195,2,55.23,14,0.2888,42.74,38.9,1,0.513,0,0
consumer_0196,2,33.65,27,0.1628,140.81,28.15,1,0.578,1,0
consumer_0197,5,76.77,12,0.9399,61.82,86.45,1,0.3113,0,0
consumer_0198,5,81.68,28,0.2671,114.4,100.15,3,0.3321,1,1
consumer_0199,3,49.02,45,0.6796,24.73,61.26,0,0.2581,0,0
consumer_0200,2,47.65,19,0.3598,162.72,34.25,1,0.1867,0,0
